freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.997e+02,7.316e+02,1.542e+01,1.047e+03
1.5,1.800e+02,4.201e+02,2.958e+01,6.297e+02
3.0,1.827e+01,2.224e+01,2.619e+01,6.669e+01
4.6,1.990e+01,2.950e+02,2.878e+01,3.436e+02
6.1,1.682e+01,1.167e+03,3.210e+01,1.216e+03
7.6,1.571e+01,2.042e+03,3.614e+01,2.094e+03
9.1,1.822e+01,3.113e+03,3.668e+01,3.168e+03
10.6,2.091e+01,4.471e+03,3.781e+01,4.529e+03
12.1,2.673e+01,6.391e+03,4.339e+01,6.461e+03
13.7,3.872e+01,9.066e+03,4.971e+01,9.154e+03
15.2,6.072e+01,1.205e+04,5.515e+01,1.217e+04
16.7,6.456e+01,1.360e+04,6.211e+01,1.373e+04
18.2,7.751e+01,1.624e+04,7.876e+01,1.640e+04
19.7,7.575e+01,2.169e+04,5.826e+01,2.183e+04
21.2,1.370e+02,3.071e+04,4.005e+01,3.089e+04
22.8,3.347e+02,4.279e+04,4.749e+01,4.317e+04
24.3,4.641e+02,5.755e+04,8.079e+01,5.810e+04
25.8,8.512e+02,8.156e+04,9.952e+01,8.252e+04
27.3,1.967e+03,1.184e+05,1.095e+02,1.205e+05
28.8,3.638e+03,1.665e+05,6.467e+02,1.708e+05
30.3,5.411e+03,2.159e+05,1.472e+03,2.228e+05
31.9,8.789e+03,2.852e+05,1.348e+03,2.953e+05
33.4,2.716e+04,4.691e+05,7.307e+02,4.970e+05
34.9,1.016e+05,9.829e+05,2.361e+02,1.085e+06
36.4,2.530e+05,1.805e+06,6.858e+02,2.059e+06
37.9,4.172e+05,2.310e+06,2.204e+03,2.730e+06
39.4,4.502e+05,1.925e+06,4.509e+03,2.380e+06
41.0,4.005e+05,1.334e+06,6.225e+03,1.741e+06
42.5,3.581e+05,9.078e+05,7.172e+03,1.273e+06
44.0,3.578e+05,6.364e+05,9.017e+03,1.003e+06
45.5,4.470e+05,4.851e+05,1.575e+04,9.478e+05
47.0,6.374e+05,3.909e+05,3.024e+04,1.059e+06
48.5,7.962e+05,3.010e+05,3.851e+04,1.136e+06
50.1,7.023e+05,2.092e+05,2.600e+04,9.374e+05
51.6,5.539e+05,1.592e+05,1.204e+04,7.251e+05
53.1,4.527e+05,1.297e+05,1.213e+04,5.945e+05
54.6,3.396e+05,1.099e+05,1.789e+04,4.674e+05
56.1,2.532e+05,9.556e+04,2.193e+04,3.707e+05
57.6,2.038e+05,8.027e+04,2.026e+04,3.043e+05
59.2,1.789e+05,6.537e+04,1.310e+04,2.574e+05
60.7,1.663e+05,4.872e+04,9.010e+03,2.240e+05
62.2,1.516e+05,3.375e+04,7.701e+03,1.931e+05
63.7,1.328e+05,2.556e+04,6.837e+03,1.652e+05
65.2,1.172e+05,2.153e+04,5.762e+03,1.445e+05
66.8,1.042e+05,1.960e+04,5.059e+03,1.289e+05
68.3,9.481e+04,1.963e+04,4.791e+03,1.192e+05
69.8,8.885e+04,2.161e+04,3.979e+03,1.144e+05
71.3,8.398e+04,2.545e+04,3.298e+03,1.127e+05
72.8,7.780e+04,3.065e+04,2.799e+03,1.112e+05
74.3,7.214e+04,3.692e+04,2.281e+03,1.113e+05
75.9,6.502e+04,4.048e+04,1.934e+03,1.074e+05
77.4,6.032e+04,4.426e+04,2.011e+03,1.066e+05
78.9,5.726e+04,4.972e+04,2.422e+03,1.094e+05
80.4,5.326e+04,5.613e+04,3.264e+03,1.127e+05
81.9,4.728e+04,6.038e+04,3.880e+03,1.115e+05
83.4,3.782e+04,5.746e+04,3.293e+03,9.857e+04
85.0,2.595e+04,4.722e+04,2.130e+03,7.530e+04
86.5,1.587e+04,3.491e+04,1.342e+03,5.212e+04
88.0,8.828e+03,2.466e+04,9.745e+02,3.446e+04
89.5,4.430e+03,1.756e+04,7.912e+02,2.278e+04
91.0,2.126e+03,1.424e+04,1.106e+03,1.747e+04
92.5,1.093e+03,1.264e+04,2.002e+03,1.573e+04
94.1,1.154e+03,1.121e+04,2.224e+03,1.459e+04
95.6,2.561e+03,9.881e+03,1.849e+03,1.429e+04
97.1,5.494e+03,8.758e+03,9.181e+02,1.517e+04
98.6,9.493e+03,7.407e+03,3.868e+02,1.729e+04
100.1,1.276e+04,6.243e+03,4.865e+02,1.949e+04
101.6,1.465e+04,5.107e+03,8.641e+02,2.062e+04
103.2,1.365e+04,3.909e+03,1.466e+03,1.902e+04
104.7,1.232e+04,3.076e+03,2.073e+03,1.747e+04
106.2,1.251e+04,2.924e+03,2.584e+03,1.802e+04
107.7,1.305e+04,3.157e+03,2.783e+03,1.899e+04
109.2,1.345e+04,3.643e+03,2.981e+03,2.007e+04
110.7,1.275e+04,3.662e+03,2.250e+03,1.866e+04
112.3,1.216e+04,3.846e+03,1.828e+03,1.783e+04
113.8,1.479e+04,5.544e+03,2.611e+03,2.294e+04
115.3,1.563e+04,4.451e+03,2.204e+03,2.229e+04
116.8,1.492e+04,3.075e+03,1.367e+03,1.937e+04
118.3,1.532e+04,2.808e+03,1.183e+03,1.931e+04
119.9,1.556e+04,3.594e+03,1.399e+03,2.056e+04
121.4,1.517e+04,5.150e+03,1.818e+03,2.214e+04
122.9,1.574e+04,7.899e+03,1.699e+03,2.534e+04
124.4,1.714e+04,8.077e+03,1.070e+03,2.629e+04
125.9,1.766e+04,6.329e+03,1.111e+03,2.510e+04
127.4,1.991e+04,6.475e+03,1.530e+03,2.791e+04
129.0,2.336e+04,6.528e+03,1.825e+03,3.171e+04
130.5,2.804e+04,6.205e+03,2.146e+03,3.640e+04
132.0,2.819e+04,6.010e+03,2.305e+03,3.651e+04
133.5,1.153e+04,2.579e+03,1.919e+03,1.602e+04
135.0,3.144e+03,6.095e+02,2.005e+03,5.758e+03
136.5,3.169e+03,5.338e+02,2.513e+03,6.216e+03
138.1,3.409e+03,5.853e+02,2.997e+03,6.991e+03
139.6,3.515e+03,6.024e+02,3.374e+03,7.491e+03
141.1,3.235e+03,5.334e+02,3.353e+03,7.121e+03
142.6,2.758e+03,4.066e+02,2.875e+03,6.039e+03
144.1,1.975e+03,2.339e+02,1.939e+03,4.148e+03
145.6,1.331e+03,1.872e+02,1.233e+03,2.751e+03
147.2,8.824e+02,3.023e+02,1.159e+03,2.344e+03
148.7,7.206e+02,5.058e+02,1.403e+03,2.629e+03
150.2,7.831e+02,6.802e+02,1.699e+03,3.163e+03
151.7,1.113e+03,8.325e+02,2.302e+03,4.247e+03
153.2,1.295e+03,9.110e+02,2.774e+03,4.980e+03
154.7,1.286e+03,9.831e+02,3.015e+03,5.284e+03
156.3,1.161e+03,1.034e+03,3.025e+03,5.219e+03
157.8,1.079e+03,1.121e+03,2.867e+03,5.067e+03
159.3,9.169e+02,1.163e+03,2.557e+03,4.637e+03
160.8,7.223e+02,1.204e+03,2.171e+03,4.098e+03
162.3,5.786e+02,1.285e+03,1.753e+03,3.617e+03
163.8,5.082e+02,1.525e+03,1.401e+03,3.434e+03
165.4,4.329e+02,1.905e+03,1.070e+03,3.409e+03
166.9,3.869e+02,2.356e+03,7.544e+02,3.497e+03
168.4,3.588e+02,2.571e+03,5.740e+02,3.503e+03
169.9,3.516e+02,2.301e+03,5.114e+02,3.164e+03
171.4,3.583e+02,1.905e+03,5.088e+02,2.772e+03
172.9,3.831e+02,1.494e+03,5.997e+02,2.476e+03
174.5,4.023e+02,1.139e+03,6.834e+02,2.225e+03
176.0,4.471e+02,8.694e+02,8.064e+02,2.123e+03
177.5,4.973e+02,7.293e+02,9.068e+02,2.133e+03
179.0,5.002e+02,6.106e+02,8.564e+02,1.967e+03
180.5,5.034e+02,5.022e+02,7.400e+02,1.746e+03
182.1,4.884e+02,4.903e+02,6.558e+02,1.634e+03
183.6,4.441e+02,4.906e+02,5.487e+02,1.483e+03
185.1,4.084e+02,4.954e+02,4.419e+02,1.346e+03
186.6,3.653e+02,5.382e+02,3.815e+02,1.285e+03
188.1,3.152e+02,6.429e+02,3.755e+02,1.334e+03
189.6,3.158e+02,8.896e+02,5.037e+02,1.709e+03
191.2,3.359e+02,1.003e+03,6.913e+02,2.031e+03
192.7,3.823e+02,1.014e+03,7.789e+02,2.175e+03
194.2,3.882e+02,9.421e+02,7.759e+02,2.106e+03
195.7,3.554e+02,7.590e+02,7.088e+02,1.823e+03
197.2,3.291e+02,6.398e+02,6.376e+02,1.606e+03
198.7,2.750e+02,5.271e+02,5.818e+02,1.384e+03
