freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.737e+01,2.127e+01,8.056e+02,8.443e+02
1.5,2.298e+01,2.405e+01,4.707e+02,5.178e+02
3.0,1.571e+01,1.709e+01,3.852e+01,7.132e+01
4.6,1.759e+01,1.856e+01,2.956e+02,3.317e+02
6.1,1.816e+01,2.004e+01,1.117e+03,1.155e+03
7.6,1.802e+01,2.009e+01,1.954e+03,1.992e+03
9.1,1.756e+01,2.370e+01,2.878e+03,2.919e+03
10.6,1.842e+01,2.816e+01,3.845e+03,3.892e+03
12.1,1.890e+01,2.718e+01,5.067e+03,5.113e+03
13.7,1.796e+01,2.815e+01,6.545e+03,6.591e+03
15.2,2.076e+01,3.534e+01,8.369e+03,8.425e+03
16.7,2.431e+01,4.827e+01,1.059e+04,1.066e+04
18.2,4.150e+01,6.439e+01,1.324e+04,1.335e+04
19.7,7.718e+01,8.942e+01,1.546e+04,1.562e+04
21.2,5.713e+01,1.223e+02,1.826e+04,1.844e+04
22.8,4.846e+01,1.586e+02,2.315e+04,2.336e+04
24.3,5.158e+01,1.987e+02,2.908e+04,2.933e+04
25.8,3.902e+01,2.262e+02,3.604e+04,3.630e+04
27.3,2.699e+01,4.152e+02,4.500e+04,4.545e+04
28.8,3.253e+01,6.812e+02,5.323e+04,5.394e+04
30.4,7.245e+01,4.959e+02,5.793e+04,5.849e+04
31.9,9.974e+01,3.146e+02,6.471e+04,6.512e+04
33.4,1.157e+02,4.922e+02,7.575e+04,7.635e+04
34.9,1.636e+02,1.181e+03,9.051e+04,9.186e+04
36.4,2.404e+02,1.827e+03,1.087e+05,1.108e+05
37.9,2.430e+02,2.747e+03,1.346e+05,1.376e+05
39.5,2.224e+02,4.573e+03,1.701e+05,1.749e+05
41.0,3.081e+02,8.266e+03,2.182e+05,2.267e+05
42.5,1.342e+03,1.408e+04,2.865e+05,3.019e+05
44.0,5.084e+03,1.282e+04,3.850e+05,4.029e+05
45.5,1.042e+04,4.630e+03,5.421e+05,5.572e+05
47.0,1.398e+04,2.401e+03,7.701e+05,7.865e+05
48.6,1.675e+04,7.854e+03,1.137e+06,1.162e+06
50.1,2.405e+04,2.018e+04,1.734e+06,1.778e+06
51.6,3.948e+04,4.035e+04,2.571e+06,2.651e+06
53.1,4.216e+04,4.970e+04,3.063e+06,3.155e+06
54.6,3.021e+04,4.233e+04,2.836e+06,2.909e+06
56.2,2.268e+04,3.472e+04,2.452e+06,2.510e+06
57.7,1.874e+04,2.840e+04,2.036e+06,2.083e+06
59.2,1.686e+04,2.348e+04,1.657e+06,1.697e+06
60.7,1.632e+04,1.972e+04,1.331e+06,1.367e+06
62.2,1.376e+04,1.692e+04,1.051e+06,1.082e+06
63.7,1.149e+04,1.521e+04,8.586e+05,8.853e+05
65.3,1.162e+04,1.411e+04,7.037e+05,7.294e+05
66.8,1.249e+04,1.367e+04,5.655e+05,5.917e+05
68.3,1.295e+04,1.406e+04,4.679e+05,4.949e+05
69.8,1.340e+04,1.475e+04,3.941e+05,4.222e+05
71.3,1.335e+04,1.472e+04,3.288e+05,3.568e+05
72.8,1.127e+04,1.295e+04,2.627e+05,2.870e+05
74.4,9.195e+03,1.169e+04,2.159e+05,2.368e+05
75.9,7.549e+03,1.136e+04,1.829e+05,2.018e+05
77.4,6.190e+03,1.061e+04,1.522e+05,1.690e+05
78.9,4.632e+03,9.011e+03,1.284e+05,1.420e+05
80.4,4.134e+03,8.817e+03,1.179e+05,1.309e+05
82.0,4.315e+03,9.266e+03,1.118e+05,1.254e+05
83.5,4.378e+03,8.938e+03,1.021e+05,1.154e+05
85.0,3.941e+03,7.600e+03,8.979e+04,1.013e+05
86.5,4.661e+03,8.023e+03,9.098e+04,1.037e+05
88.0,6.894e+03,1.160e+04,1.031e+05,1.216e+05
89.5,8.894e+03,1.602e+04,1.201e+05,1.450e+05
91.1,9.776e+03,1.886e+04,1.298e+05,1.584e+05
92.6,1.017e+04,2.036e+04,1.242e+05,1.547e+05
94.1,1.126e+04,2.305e+04,1.338e+05,1.682e+05
95.6,1.115e+04,2.240e+04,1.405e+05,1.740e+05
97.1,9.286e+03,1.891e+04,1.429e+05,1.711e+05
98.6,6.147e+03,1.392e+04,1.398e+05,1.599e+05
100.2,3.484e+03,9.593e+03,1.325e+05,1.455e+05
101.7,2.296e+03,7.591e+03,1.231e+05,1.330e+05
103.2,2.679e+03,8.274e+03,1.204e+05,1.314e+05
104.7,4.449e+03,1.119e+04,1.209e+05,1.366e+05
106.2,6.384e+03,1.445e+04,1.196e+05,1.405e+05
107.7,8.427e+03,1.764e+04,1.194e+05,1.455e+05
109.3,1.118e+04,2.245e+04,1.268e+05,1.604e+05
110.8,1.307e+04,2.807e+04,1.345e+05,1.756e+05
112.3,1.337e+04,3.005e+04,1.293e+05,1.727e+05
113.8,1.439e+04,3.274e+04,1.294e+05,1.765e+05
115.3,1.427e+04,3.206e+04,1.180e+05,1.643e+05
116.9,1.334e+04,2.975e+04,1.025e+05,1.456e+05
118.4,1.371e+04,3.617e+04,1.035e+05,1.534e+05
119.9,1.310e+04,4.492e+04,1.050e+05,1.630e+05
121.4,1.147e+04,4.917e+04,9.910e+04,1.597e+05
122.9,1.066e+04,5.220e+04,9.369e+04,1.565e+05
124.4,1.183e+04,5.388e+04,8.849e+04,1.542e+05
126.0,1.439e+04,5.001e+04,8.453e+04,1.489e+05
127.5,2.028e+04,4.250e+04,8.992e+04,1.527e+05
129.0,2.912e+04,3.620e+04,1.036e+05,1.689e+05
130.5,3.709e+04,3.272e+04,1.154e+05,1.852e+05
132.0,3.709e+04,2.689e+04,1.055e+05,1.695e+05
133.5,1.476e+04,9.450e+03,3.888e+04,6.309e+04
135.1,4.162e+03,1.729e+03,8.330e+03,1.422e+04
136.6,5.024e+03,1.637e+03,9.382e+03,1.604e+04
138.1,5.947e+03,1.798e+03,1.098e+04,1.873e+04
139.6,6.204e+03,1.784e+03,1.168e+04,1.966e+04
141.1,6.824e+03,1.945e+03,1.348e+04,2.224e+04
142.7,7.152e+03,2.134e+03,1.521e+04,2.450e+04
144.2,7.177e+03,2.287e+03,1.675e+04,2.621e+04
145.7,7.729e+03,2.771e+03,1.976e+04,3.026e+04
147.2,7.530e+03,3.029e+03,2.071e+04,3.127e+04
148.7,8.292e+03,3.525e+03,2.316e+04,3.498e+04
150.2,9.436e+03,4.020e+03,2.533e+04,3.878e+04
151.8,1.023e+04,4.229e+03,2.589e+04,4.035e+04
153.3,1.050e+04,4.147e+03,2.431e+04,3.896e+04
154.8,1.050e+04,4.047e+03,2.226e+04,3.681e+04
156.3,9.580e+03,3.861e+03,1.881e+04,3.225e+04
157.8,8.427e+03,3.642e+03,1.614e+04,2.821e+04
159.3,6.957e+03,3.008e+03,1.353e+04,2.349e+04
160.9,5.690e+03,2.057e+03,1.127e+04,1.902e+04
162.4,5.978e+03,1.550e+03,1.167e+04,1.920e+04
163.9,5.847e+03,1.478e+03,1.133e+04,1.866e+04
165.4,4.955e+03,1.628e+03,1.022e+04,1.681e+04
166.9,4.897e+03,2.266e+03,1.064e+04,1.780e+04
168.5,4.517e+03,2.696e+03,1.047e+04,1.768e+04
170.0,4.232e+03,2.974e+03,1.032e+04,1.752e+04
171.5,4.861e+03,3.628e+03,1.197e+04,2.046e+04
173.0,4.972e+03,4.029e+03,1.183e+04,2.083e+04
174.5,5.203e+03,4.436e+03,1.180e+04,2.144e+04
176.0,4.938e+03,4.388e+03,1.092e+04,2.025e+04
177.6,5.217e+03,4.752e+03,1.114e+04,2.111e+04
179.1,5.071e+03,4.783e+03,1.024e+04,2.009e+04
180.6,5.048e+03,4.752e+03,9.797e+03,1.960e+04
182.1,4.497e+03,4.188e+03,9.109e+03,1.779e+04
183.6,4.017e+03,3.722e+03,8.743e+03,1.648e+04
185.1,3.853e+03,3.588e+03,8.279e+03,1.572e+04
186.7,3.609e+03,3.340e+03,7.461e+03,1.441e+04
188.2,3.394e+03,3.093e+03,7.006e+03,1.349e+04
189.7,3.159e+03,2.944e+03,6.764e+03,1.287e+04
191.2,2.916e+03,2.906e+03,6.471e+03,1.229e+04
192.7,2.660e+03,2.998e+03,6.000e+03,1.166e+04
194.3,2.351e+03,3.063e+03,5.374e+03,1.079e+04
195.8,2.177e+03,3.158e+03,4.843e+03,1.018e+04
