freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.427e+02,1.005e+03,1.599e+01,1.363e+03
1.5,2.106e+02,5.686e+02,3.928e+01,8.185e+02
3.0,2.465e+01,2.502e+01,3.727e+01,8.694e+01
4.5,2.434e+01,2.608e+02,3.222e+01,3.174e+02
6.0,2.447e+01,1.127e+03,3.491e+01,1.186e+03
7.5,2.298e+01,1.999e+03,3.451e+01,2.057e+03
9.0,2.651e+01,3.016e+03,3.668e+01,3.079e+03
10.5,3.063e+01,4.326e+03,3.985e+01,4.397e+03
11.9,2.989e+01,6.149e+03,4.790e+01,6.227e+03
13.4,4.163e+01,8.733e+03,5.711e+01,8.832e+03
14.9,6.003e+01,1.158e+04,5.957e+01,1.170e+04
16.4,6.141e+01,1.280e+04,5.994e+01,1.292e+04
17.9,6.765e+01,1.545e+04,7.184e+01,1.559e+04
19.4,8.355e+01,2.106e+04,6.723e+01,2.122e+04
20.9,1.428e+02,2.983e+04,5.501e+01,3.002e+04
22.4,3.097e+02,4.150e+04,5.565e+01,4.186e+04
23.9,4.183e+02,5.695e+04,6.944e+01,5.744e+04
25.4,9.323e+02,8.255e+04,7.617e+01,8.356e+04
26.9,2.221e+03,1.212e+05,1.393e+02,1.235e+05
28.4,3.486e+03,1.634e+05,6.301e+02,1.675e+05
29.9,4.036e+03,2.045e+05,1.432e+03,2.100e+05
31.4,6.962e+03,2.806e+05,1.905e+03,2.895e+05
32.9,2.372e+04,4.739e+05,1.371e+03,4.990e+05
34.3,9.358e+04,1.040e+06,3.899e+02,1.134e+06
35.8,2.990e+05,2.367e+06,6.790e+02,2.666e+06
37.3,5.484e+05,3.296e+06,2.586e+03,3.847e+06
38.8,5.924e+05,2.727e+06,4.090e+03,3.324e+06
40.3,5.255e+05,1.826e+06,4.302e+03,2.356e+06
41.8,4.709e+05,1.198e+06,4.388e+03,1.673e+06
43.3,4.653e+05,8.258e+05,5.228e+03,1.296e+06
44.8,5.597e+05,6.190e+05,9.025e+03,1.188e+06
46.3,7.236e+05,4.825e+05,1.487e+04,1.221e+06
47.8,7.993e+05,3.838e+05,1.148e+04,1.195e+06
49.3,7.135e+05,3.004e+05,5.619e+03,1.020e+06
50.8,5.628e+05,2.311e+05,2.768e+03,7.967e+05
52.3,4.859e+05,1.770e+05,4.864e+03,6.677e+05
53.8,3.924e+05,1.283e+05,1.465e+04,5.354e+05
55.3,2.878e+05,9.458e+04,2.774e+04,4.101e+05
56.7,2.193e+05,7.377e+04,2.803e+04,3.211e+05
58.2,1.796e+05,6.139e+04,2.310e+04,2.641e+05
59.7,1.625e+05,5.201e+04,1.642e+04,2.310e+05
61.2,1.519e+05,4.062e+04,1.088e+04,2.034e+05
62.7,1.288e+05,3.444e+04,7.678e+03,1.709e+05
64.2,1.052e+05,3.528e+04,4.955e+03,1.455e+05
65.7,8.908e+04,3.827e+04,3.624e+03,1.310e+05
67.2,7.637e+04,4.280e+04,2.917e+03,1.221e+05
68.7,6.740e+04,4.517e+04,2.864e+03,1.154e+05
70.2,5.947e+04,4.353e+04,3.025e+03,1.060e+05
71.7,5.423e+04,4.322e+04,3.178e+03,1.006e+05
73.2,4.929e+04,4.355e+04,3.916e+03,9.676e+04
74.7,4.567e+04,4.184e+04,5.814e+03,9.332e+04
76.2,4.339e+04,3.859e+04,8.362e+03,9.034e+04
77.7,4.120e+04,3.845e+04,1.095e+04,9.060e+04
79.1,3.735e+04,4.188e+04,1.360e+04,9.283e+04
80.6,2.946e+04,4.175e+04,1.463e+04,8.584e+04
82.1,2.011e+04,3.454e+04,1.256e+04,6.721e+04
83.6,1.190e+04,2.705e+04,1.034e+04,4.929e+04
85.1,6.476e+03,2.052e+04,8.131e+03,3.513e+04
86.6,3.822e+03,1.528e+04,7.210e+03,2.631e+04
88.1,2.070e+03,1.234e+04,7.757e+03,2.217e+04
89.6,1.226e+03,1.026e+04,8.391e+03,1.988e+04
91.1,1.532e+03,8.377e+03,8.443e+03,1.835e+04
92.6,2.552e+03,6.868e+03,8.166e+03,1.759e+04
94.1,4.218e+03,5.362e+03,6.898e+03,1.648e+04
95.6,6.240e+03,3.973e+03,5.347e+03,1.556e+04
97.1,8.779e+03,2.949e+03,4.026e+03,1.575e+04
98.6,1.115e+04,2.664e+03,3.251e+03,1.707e+04
100.1,1.310e+04,2.975e+03,3.208e+03,1.928e+04
101.5,1.598e+04,4.230e+03,3.603e+03,2.382e+04
103.0,1.869e+04,5.500e+03,4.123e+03,2.832e+04
104.5,2.098e+04,6.551e+03,4.971e+03,3.250e+04
106.0,2.238e+04,7.227e+03,5.609e+03,3.522e+04
107.5,2.252e+04,7.331e+03,6.288e+03,3.613e+04
109.0,2.300e+04,7.767e+03,7.807e+03,3.857e+04
110.5,2.294e+04,7.976e+03,7.770e+03,3.869e+04
112.0,2.301e+04,8.575e+03,7.555e+03,3.914e+04
113.5,2.363e+04,9.223e+03,7.402e+03,4.026e+04
115.0,2.426e+04,9.295e+03,6.942e+03,4.049e+04
116.5,2.450e+04,9.174e+03,6.359e+03,4.004e+04
118.0,2.482e+04,9.678e+03,6.356e+03,4.085e+04
119.5,2.545e+04,1.118e+04,6.664e+03,4.330e+04
121.0,2.676e+04,1.261e+04,6.774e+03,4.614e+04
122.4,2.822e+04,1.403e+04,7.779e+03,5.003e+04
123.9,2.862e+04,1.831e+04,9.524e+03,5.645e+04
125.4,3.019e+04,2.312e+04,9.525e+03,6.283e+04
126.9,3.889e+04,2.521e+04,8.964e+03,7.306e+04
128.4,4.740e+04,2.588e+04,9.426e+03,8.271e+04
129.9,5.604e+04,2.637e+04,9.580e+03,9.200e+04
131.4,6.563e+04,2.182e+04,9.569e+03,9.703e+04
132.9,4.149e+04,1.195e+04,7.538e+03,6.097e+04
134.4,5.130e+03,4.625e+03,4.649e+03,1.440e+04
135.9,1.951e+03,2.932e+03,4.662e+03,9.545e+03
137.4,1.866e+03,1.892e+03,5.072e+03,8.830e+03
138.9,1.815e+03,1.501e+03,5.813e+03,9.129e+03
140.4,1.749e+03,1.485e+03,6.561e+03,9.794e+03
141.9,1.717e+03,1.390e+03,7.663e+03,1.077e+04
143.4,1.961e+03,1.304e+03,8.901e+03,1.217e+04
144.8,2.148e+03,1.177e+03,9.438e+03,1.276e+04
