freq,psd_x,psd_y,psd_z,psd_xyz
146.3,2.219e+03,1.070e+03,9.551e+03,1.284e+04
147.8,2.273e+03,1.013e+03,9.111e+03,1.240e+04
149.3,2.196e+03,9.156e+02,8.112e+03,1.122e+04
150.8,1.926e+03,8.769e+02,6.872e+03,9.675e+03
152.3,1.823e+03,1.026e+03,6.086e+03,8.934e+03
153.8,1.888e+03,1.213e+03,5.966e+03,9.068e+03
155.3,2.199e+03,1.384e+03,6.592e+03,1.018e+04
156.8,2.430e+03,1.467e+03,7.236e+03,1.113e+04
158.3,3.103e+03,1.649e+03,8.762e+03,1.351e+04
159.8,4.051e+03,2.099e+03,1.084e+04,1.699e+04
161.3,4.455e+03,2.328e+03,1.191e+04,1.869e+04
162.8,5.669e+03,2.709e+03,1.458e+04,2.296e+04
164.3,6.489e+03,3.040e+03,1.616e+04,2.569e+04
165.8,7.549e+03,3.327e+03,1.846e+04,2.933e+04
167.2,8.673e+03,3.975e+03,2.030e+04,3.295e+04
168.7,1.021e+04,5.308e+03,2.269e+04,3.821e+04
170.2,1.118e+04,6.643e+03,2.385e+04,4.167e+04
171.7,1.145e+04,7.592e+03,2.329e+04,4.234e+04
173.2,1.159e+04,8.781e+03,2.260e+04,4.297e+04
174.7,1.102e+04,9.107e+03,2.090e+04,4.102e+04
176.2,1.054e+04,9.189e+03,1.911e+04,3.884e+04
177.7,9.251e+03,8.386e+03,1.644e+04,3.408e+04
179.2,8.192e+03,7.382e+03,1.467e+04,3.025e+04
180.7,7.271e+03,6.324e+03,1.298e+04,2.658e+04
182.2,5.832e+03,5.096e+03,1.047e+04,2.139e+04
183.7,4.945e+03,4.311e+03,8.831e+03,1.809e+04
185.2,4.287e+03,3.697e+03,7.204e+03,1.519e+04
186.7,3.691e+03,3.109e+03,5.888e+03,1.269e+04
188.2,3.050e+03,2.569e+03,4.962e+03,1.058e+04
189.6,2.755e+03,2.259e+03,4.511e+03,9.525e+03
191.1,2.507e+03,2.069e+03,3.917e+03,8.493e+03
192.6,2.386e+03,1.983e+03,3.456e+03,7.825e+03
194.1,2.198e+03,2.026e+03,2.943e+03,7.166e+03
195.6,2.043e+03,2.104e+03,2.625e+03,6.772e+03
197.1,1.936e+03,2.276e+03,2.489e+03,6.701e+03
198.6,1.843e+03,2.400e+03,2.345e+03,6.588e+03
