freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.130e+01,3.134e+01,6.448e+02,6.974e+02
1.5,2.595e+01,3.223e+01,3.833e+02,4.415e+02
3.0,1.872e+01,1.711e+01,3.775e+01,7.357e+01
4.5,1.825e+01,1.815e+01,2.442e+02,2.806e+02
5.9,1.876e+01,2.051e+01,1.042e+03,1.081e+03
7.4,1.873e+01,2.325e+01,1.842e+03,1.884e+03
8.9,1.958e+01,2.628e+01,2.725e+03,2.771e+03
10.4,1.764e+01,3.042e+01,3.635e+03,3.683e+03
11.9,1.642e+01,2.775e+01,4.685e+03,4.729e+03
13.4,1.650e+01,2.819e+01,6.150e+03,6.195e+03
14.9,1.835e+01,3.071e+01,7.797e+03,7.846e+03
16.4,2.285e+01,4.502e+01,9.952e+03,1.002e+04
17.8,3.308e+01,5.807e+01,1.270e+04,1.279e+04
19.3,6.243e+01,8.225e+01,1.521e+04,1.536e+04
20.8,6.367e+01,1.238e+02,1.750e+04,1.768e+04
22.3,6.138e+01,1.678e+02,2.165e+04,2.188e+04
23.8,6.904e+01,2.293e+02,2.722e+04,2.751e+04
25.3,5.826e+01,2.764e+02,3.367e+04,3.400e+04
26.8,4.620e+01,4.562e+02,4.173e+04,4.223e+04
28.2,7.312e+01,6.774e+02,4.896e+04,4.971e+04
29.7,1.013e+02,4.478e+02,5.279e+04,5.334e+04
31.2,1.011e+02,2.503e+02,6.017e+04,6.052e+04
32.7,9.606e+01,4.758e+02,7.136e+04,7.194e+04
34.2,1.257e+02,1.181e+03,8.480e+04,8.611e+04
35.7,1.322e+02,2.118e+03,1.028e+05,1.050e+05
37.2,1.114e+02,3.870e+03,1.282e+05,1.322e+05
38.7,2.854e+02,8.046e+03,1.644e+05,1.727e+05
40.1,1.810e+03,1.763e+04,2.164e+05,2.358e+05
41.6,5.603e+03,2.270e+04,2.829e+05,3.112e+05
43.1,7.872e+03,1.196e+04,3.566e+05,3.764e+05
44.6,9.086e+03,4.131e+03,4.283e+05,4.415e+05
46.1,8.970e+03,1.863e+03,5.084e+05,5.193e+05
47.6,8.922e+03,3.716e+03,6.469e+05,6.596e+05
49.1,8.620e+03,7.818e+03,7.790e+05,7.955e+05
50.6,9.481e+03,1.273e+04,8.993e+05,9.215e+05
52.0,1.008e+04,1.523e+04,1.058e+06,1.083e+06
53.5,1.062e+04,1.507e+04,1.226e+06,1.252e+06
55.0,1.485e+04,1.629e+04,1.361e+06,1.393e+06
56.5,2.358e+04,1.943e+04,1.486e+06,1.529e+06
58.0,3.958e+04,2.644e+04,1.698e+06,1.764e+06
59.5,5.475e+04,3.562e+04,1.890e+06,1.980e+06
61.0,6.051e+04,4.353e+04,1.935e+06,2.039e+06
62.4,5.541e+04,4.677e+04,1.779e+06,1.881e+06
63.9,4.891e+04,4.328e+04,1.437e+06,1.530e+06
65.4,4.522e+04,4.014e+04,1.113e+06,1.198e+06
66.9,4.428e+04,4.071e+04,9.020e+05,9.870e+05
68.4,4.343e+04,4.298e+04,7.578e+05,8.442e+05
69.9,4.040e+04,4.318e+04,6.251e+05,7.087e+05
71.4,3.253e+04,4.140e+04,5.307e+05,6.047e+05
72.9,2.542e+04,3.873e+04,4.553e+05,5.194e+05
74.3,2.161e+04,3.835e+04,4.035e+05,4.634e+05
75.8,1.980e+04,3.808e+04,3.691e+05,4.270e+05
77.3,1.915e+04,3.699e+04,3.485e+05,4.046e+05
78.8,1.928e+04,3.571e+04,3.289e+05,3.839e+05
80.3,1.813e+04,3.220e+04,3.086e+05,3.589e+05
81.8,1.576e+04,2.622e+04,3.039e+05,3.459e+05
83.3,1.327e+04,2.318e+04,3.151e+05,3.515e+05
84.7,1.282e+04,2.708e+04,3.215e+05,3.614e+05
86.2,1.383e+04,3.324e+04,3.189e+05,3.660e+05
87.7,1.435e+04,3.544e+04,3.068e+05,3.566e+05
89.2,1.472e+04,3.261e+04,2.964e+05,3.438e+05
90.7,1.498e+04,2.837e+04,2.868e+05,3.301e+05
92.2,1.440e+04,2.358e+04,2.775e+05,3.154e+05
93.7,1.326e+04,1.926e+04,2.672e+05,2.997e+05
95.2,1.118e+04,1.541e+04,2.513e+05,2.779e+05
