freq,psd_x,psd_y,psd_z,psd_xyz
165.1,1.547e+03,1.747e+03,7.421e+02,4.036e+03
166.6,1.766e+03,1.972e+03,8.404e+02,4.578e+03
168.1,2.023e+03,2.115e+03,8.843e+02,5.022e+03
169.6,2.128e+03,1.952e+03,7.876e+02,4.868e+03
171.2,1.641e+03,1.744e+03,9.097e+02,4.295e+03
172.7,9.000e+02,1.710e+03,1.415e+03,4.025e+03
174.2,8.574e+02,2.206e+03,2.377e+03,5.440e+03
175.7,1.227e+03,4.786e+03,4.270e+03,1.028e+04
177.2,1.611e+03,7.743e+03,5.655e+03,1.501e+04
178.7,1.421e+03,3.879e+03,3.894e+03,9.194e+03
180.2,9.752e+02,1.125e+03,2.535e+03,4.635e+03
181.8,7.033e+02,8.745e+02,2.271e+03,3.849e+03
183.3,7.175e+02,7.110e+02,2.625e+03,4.053e+03
184.8,7.886e+02,7.982e+02,2.710e+03,4.297e+03
186.3,7.394e+02,1.251e+03,2.782e+03,4.772e+03
187.8,7.547e+02,1.860e+03,3.120e+03,5.735e+03
189.3,8.434e+02,2.490e+03,3.661e+03,6.995e+03
190.8,9.905e+02,3.036e+03,4.345e+03,8.371e+03
192.4,1.053e+03,3.867e+03,4.959e+03,9.879e+03
193.9,1.073e+03,5.079e+03,5.479e+03,1.163e+04
195.4,1.218e+03,5.997e+03,6.478e+03,1.369e+04
196.9,1.666e+03,5.823e+03,9.118e+03,1.661e+04
198.4,1.926e+03,5.784e+03,1.186e+04,1.957e+04
199.9,2.003e+03,6.465e+03,1.410e+04,2.257e+04
